Codes,New Code,Borough,Names,Hectares,Square Kilometres,Population density km
00AA,E09000001,City of London,City of London,315.1,3.2,2312.5
00ABFX,E05000026,Barking and Dagenham,Abbey,127.9,1.3,9884.6
00ABFY,E05000027,Barking and Dagenham,Alibon,136.1,1.4,7464.3
00ABFZ,E05000028,Barking and Dagenham,Becontree,128.4,1.3,8923.1
00ABGA,E05000029,Barking and Dagenham,Chadwell Heath,338,3.4,2970.6
00ABGB,E05000030,Barking and Dagenham,Eastbrook,345.4,3.5,3014.3
00ABGC,E05000031,Barking and Dagenham,Eastbury,144.5,1.4,8357.1
00ABGD,E05000032,Barking and Dagenham,Gascoigne,113.4,1.1,11409.1
00ABGE,E05000033,Barking and Dagenham,Goresbrook,128,1.3,8730.8
00ABGF,E05000034,Barking and Dagenham,Heath,200.5,2,5425
00ABGG,E05000035,Barking and Dagenham,Longbridge,164,1.6,7218.8
00ABGH,E05000036,Barking and Dagenham,Mayesbrook,185.1,1.9,5473.7
00ABGJ,E05000037,Barking and Dagenham,Parsloes,124.3,1.2,8250
00ABGK,E05000038,Barking and Dagenham,River,355.2,3.6,3055.6
00ABGL,E05000039,Barking and Dagenham,Thames,788.4,7.9,1367.1
00ABGM,E05000040,Barking and Dagenham,Valence,129.3,1.3,7653.8
00ABGN,E05000041,Barking and Dagenham,Village,214,2.1,5166.7
00ABGP,E05000042,Barking and Dagenham,Whalebone,155.4,1.6,6656.3
00ACFX,E05000043,Barnet,Brunswick Park,317.4,3.2,5140.6
00ACFY,E05000044,Barnet,Burnt Oak,206.4,2.1,8690.5
00ACFZ,E05000045,Barnet,Childs Hill,308.9,3.1,6483.9
00ACGA,E05000046,Barnet,Colindale,264.2,2.6,6596.2
00ACGB,E05000047,Barnet,Coppetts,272,2.7,6407.4
00ACGC,E05000048,Barnet,East Barnet,375.2,3.8,4263.2
00ACGD,E05000049,Barnet,East Finchley,252.4,2.5,6420
00ACGE,E05000050,Barnet,Edgware,556,5.6,3000
00ACGF,E05000051,Barnet,Finchley Church End,270.9,2.7,5833.3
00ACGG,E05000052,Barnet,Garden Suburb,473.1,4.7,3404.3
00ACGH,E05000053,Barnet,Golders Green,297.8,3,6300
00ACGJ,E05000054,Barnet,Hale,542.2,5.4,3240.7
00ACGK,E05000055,Barnet,Hendon,284,2.8,6607.1
00ACGL,E05000056,Barnet,High Barnet,830.9,8.3,1849.4
00ACGM,E05000057,Barnet,Mill Hill,938.7,9.4,1968.1
00ACGN,E05000058,Barnet,Oakleigh,331.7,3.3,4803
00ACGP,E05000059,Barnet,Totteridge,876.8,8.8,1727.3
00ACGQ,E05000060,Barnet,Underhill,455.2,4.6,3478.3
00ACGR,E05000061,Barnet,West Finchley,216.1,2.2,7545.5
00ACGS,E05000062,Barnet,West Hendon,342.6,3.4,5132.4
00ACGT,E05000063,Barnet,Woodhouse,261.2,2.6,6788.5
00ADGA,E05000064,Bexley,Barnehurst,287,2.9,3603.4
00ADGB,E05000065,Bexley,Belvedere,316.1,3.2,3734.4
00ADGC,E05000066,Bexley,Blackfen and Lamorbey,168.7,1.7,6264.7
00ADGD,E05000067,Bexley,Blendon and Penhill,209.8,2.1,5214.3
00ADGE,E05000068,Bexley,Brampton,197.3,2,5300
00ADGF,E05000069,Bexley,Christchurch,254.8,2.5,4400
00ADGG,E05000070,Bexley,Colyers,164.1,1.6,6968.8
00ADGH,E05000071,Bexley,Crayford,396.8,4,2812.5
00ADGJ,E05000072,Bexley,Cray Meadows,718.4,7.2,1562.5
00ADGK,E05000073,Bexley,Danson Park,271.6,2.7,4037
00ADGL,E05000074,Bexley,East Wickham,216.9,2.2,4954.5
00ADGM,E05000075,Bexley,Erith,475.6,4.8,2520.8
00ADGN,E05000076,Bexley,Falconwood and Welling,166.5,1.7,6382.4
00ADGP,E05000077,Bexley,Lesnes Abbey,237,2.4,4750
00ADGQ,E05000078,Bexley,Longlands,259.2,2.6,4038.5
00ADGR,E05000079,Bexley,North End,568.9,5.7,2035.1
00ADGS,E05000080,Bexley,Northumberland Heath,176.3,1.8,5916.7
00ADGT,E05000081,Bexley,St. Mary's,442.9,4.4,2386.4
00ADGU,E05000082,Bexley,St. Michael's,144.4,1.4,7964.3
00ADGW,E05000083,Bexley,Sidcup,270.2,2.7,4037
00ADGX,E05000084,Bexley,Thamesmead East,483.7,4.8,2531.3
00AEGJ,E05000085,Brent,Alperton,205.8,2.1,6690.5
00AEGK,E05000086,Brent,Barnhill,297.5,3,5283.3
00AEGL,E05000087,Brent,Brondesbury Park,172.2,1.7,7676.5
00AEGM,E05000088,Brent,Dollis Hill,229.8,2.3,5847.8
00AEGN,E05000089,Brent,Dudden Hill,168.2,1.7,8882.4
00AEGP,E05000090,Brent,Fryent,265.8,2.7,5000
00AEGQ,E05000091,Brent,Harlesden,111.5,1.1,15636.4
00AEGR,E05000092,Brent,Kensal Green,112.1,1.1,13590.9
00AEGS,E05000093,Brent,Kenton,225,2.3,5282.6
00AEGT,E05000094,Brent,Kilburn,94.4,0.9,18944.4
00AEGU,E05000095,Brent,Mapesbury,139.4,1.4,11107.1
00AEGW,E05000096,Brent,Northwick Park,267.3,2.7,4759.3
00AEGX,E05000097,Brent,Preston,239.5,2.4,6479.2
00AEGY,E05000098,Brent,Queens Park,148.9,1.5,10233.3
00AEGZ,E05000099,Brent,Queensbury,205,2,7600
00AEHA,E05000100,Brent,Stonebridge,405.5,4.1,4134.1
00AEHB,E05000101,Brent,Sudbury,213,2.1,7142.9
00AEHC,E05000102,Brent,Tokyngton,276.4,2.8,5410.7
00AEHD,E05000103,Brent,Welsh Harp,231.2,2.3,6000
00AEHE,E05000104,Brent,Wembley Central,160.3,1.6,9218.8
00AEHF,E05000105,Brent,Willesden Green,154.7,1.5,10433.3
00AFGD,E05000106,Bromley,Bickley,486.9,4.9,3091.8
00AFGE,E05000107,Bromley,Biggin Hill,828.2,8.3,1204.8
00AFGF,E05000108,Bromley,Bromley Common and Keston,832.1,8.3,1825.3
00AFGG,E05000109,Bromley,Bromley Town,371.8,3.7,4567.6
00AFGH,E05000110,Bromley,Chelsfield and Pratts Bottom,1256.2,12.6,1154.8
00AFGJ,E05000111,Bromley,Chislehurst,1044.9,10.4,1432.7
00AFGK,E05000112,Bromley,Clock House,226.6,2.3,6782.6
00AFGL,E05000113,Bromley,Copers Cope,328.6,3.3,4681.8
00AFGM,E05000114,Bromley,Cray Valley East,1328.8,13.3,1165.4
00AFGN,E05000115,Bromley,Cray Valley West,393.8,3.9,4320.5
00AFGP,E05000116,Bromley,Crystal Palace,229.3,2.3,5347.8
00AFGQ,E05000117,Bromley,Darwin,2903.5,29,177.6
00AFGR,E05000118,Bromley,Farnborough and Crofton,699.5,7,2100
00AFGS,E05000119,Bromley,Hayes and Coney Hall,1081.7,10.8,1476.9
00AFGT,E05000120,Bromley,Kelsey and Eden Park,520,5.2,3067.3
00AFGU,E05000121,Bromley,Mottingham and Chislehurst North,244.9,2.4,4187.5
00AFGW,E05000122,Bromley,Orpington,425.6,4.3,3581.4
00AFGX,E05000123,Bromley,Penge and Cator,295.7,3,5800
00AFGY,E05000124,Bromley,Petts Wood and Knoll,430.2,4.3,3186
00AFGZ,E05000125,Bromley,Plaistow and Sundridge,399.3,4,3800
00AFHA,E05000126,Bromley,Shortlands,245.6,2.5,3940
00AFHB,E05000127,Bromley,West Wickham,441.3,4.4,3397.7
00AGGD,E05000128,Camden,Belsize,78,0.8,15875
00AGGE,E05000129,Camden,Bloomsbury,102.1,1,10800
00AGGF,E05000130,Camden,Camden Town with Primrose Hill,116.6,1.2,10541.7
00AGGG,E05000131,Camden,Cantelowes,75.8,0.8,14875
00AGGH,E05000132,Camden,Fortune Green,100.5,1,11750
00AGGJ,E05000133,Camden,Frognal and Fitzjohns,153.3,1.5,7966.7
00AGGK,E05000134,Camden,Gospel Oak,69.1,0.7,16071.4
00AGGL,E05000135,Camden,Hampstead Town,245,2.5,4520
00AGGM,E05000136,Camden,Haverstock,73.2,0.7,17642.9
00AGGN,E05000137,Camden,Highgate,324.2,3.2,3421.9
00AGGP,E05000138,Camden,Holborn and Covent Garden,120.1,1.2,10833.3
00AGGQ,E05000139,Camden,Kentish Town,102.8,1,13400
00AGGR,E05000140,Camden,Kilburn,68.6,0.7,17214.3
00AGGS,E05000141,Camden,King's Cross,61,0.6,19583.3
00AGGT,E05000142,Camden,Regent's Park,135,1.3,10384.6
00AGGU,E05000143,Camden,St. Pancras and Somers Town,140,1.4,9857.1
00AGGW,E05000144,Camden,Swiss Cottage,125.7,1.3,9923.1
00AGGX,E05000145,Camden,West Hampstead,88.7,0.9,13388.9
00AHGE,E05000146,Croydon,Addiscombe,159.5,1.6,10593.8
00AHGF,E05000147,Croydon,Ashburton,271.4,2.7,5481.5
00AHGG,E05000148,Croydon,Bensham Manor,144.6,1.4,11607.1
00AHGH,E05000149,Croydon,Broad Green,266.7,2.7,6925.9
00AHGJ,E05000150,Croydon,Coulsdon East,774.3,7.7,1597.4
00AHGK,E05000151,Croydon,Coulsdon West,499.5,5,2700
00AHGL,E05000152,Croydon,Croham,352.3,3.5,4528.6
00AHGM,E05000153,Croydon,Fairfield,376.5,3.8,4381.6
00AHGN,E05000154,Croydon,Fieldway,148.5,1.5,7666.7
00AHGP,E05000155,Croydon,Heathfield,871,8.7,1523
00AHGQ,E05000156,Croydon,Kenley,646,6.5,2315.4
00AHGR,E05000157,Croydon,New Addington,242.8,2.4,4520.8
00AHGS,E05000158,Croydon,Norbury,252,2.5,6620
00AHGT,E05000159,Croydon,Purley,417.3,4.2,3488.1
00AHGU,E05000160,Croydon,Sanderstead,634.6,6.3,2039.7
00AHGW,E05000161,Croydon,Selhurst,227.7,2.3,7891.3
00AHGX,E05000162,Croydon,Selsdon and Ballards,640.6,6.4,1835.9
00AHGY,E05000163,Croydon,Shirley,280,2.8,5125
00AHGZ,E05000164,Croydon,South Norwood,238.1,2.4,6916.7
00AHHA,E05000165,Croydon,Thornton Heath,168.1,1.7,9764.7
00AHHB,E05000166,Croydon,Upper Norwood,262,2.6,6211.5
00AHHC,E05000167,Croydon,Waddon,364.4,3.6,4763.9
00AHHD,E05000168,Croydon,West Thornton,197.4,2,8775
00AHHE,E05000169,Croydon,Woodside,216.7,2.2,7636.4
00AJGC,E05000170,Ealing,Acton Central,177.5,1.8,8583.3
00AJGD,E05000171,Ealing,Cleveland,223.2,2.2,6636.4
00AJGE,E05000172,Ealing,Dormers Wells,225.9,2.3,6065.2
00AJGF,E05000173,Ealing,Ealing Broadway,185.7,1.9,7394.7
00AJGG,E05000174,Ealing,Ealing Common,214,2.1,6690.5
00AJGH,E05000175,Ealing,East Acton,427.2,4.3,4360.5
00AJGJ,E05000176,Ealing,Elthorne,200,2,7300
00AJGK,E05000177,Ealing,Greenford Broadway,252.2,2.5,7080
00AJGL,E05000178,Ealing,Greenford Green,338.1,3.4,4235.3
00AJGM,E05000179,Ealing,Hanger Hill,327.4,3.3,4727.3
00AJGN,E05000180,Ealing,Hobbayne,220.8,2.2,6477.3
00AJGP,E05000181,Ealing,Lady Margaret,153.9,1.5,9300
00AJGQ,E05000182,Ealing,Northfield,153.5,1.5,9033.3
00AJGR,E05000183,Ealing,North Greenford,324.8,3.2,4609.4
00AJGS,E05000184,Ealing,Northolt Mandeville,275.2,2.8,5428.6
00AJGT,E05000185,Ealing,Northolt West End,354.8,3.5,4328.6
00AJGU,E05000186,Ealing,Norwood Green,379.4,3.8,3697.4
00AJGW,E05000187,Ealing,Perivale,336.5,3.4,4529.4
00AJGX,E05000188,Ealing,South Acton,171.9,1.7,8764.7
00AJGY,E05000189,Ealing,Southall Broadway,162.2,1.6,8406.3
00AJGZ,E05000190,Ealing,Southall Green,158.5,1.6,9125
00AJHA,E05000191,Ealing,Southfield,143.5,1.4,9642.9
00AJHB,E05000192,Ealing,Walpole,146.6,1.5,8900
00AKGL,E05000193,Enfield,Bowes,148.5,1.5,9400
00AKGM,E05000194,Enfield,Bush Hill Park,252.6,2.5,5600
00AKGN,E05000195,Enfield,Chase,1694.4,16.9,819.5
00AKGP,E05000196,Enfield,Cockfosters,1040.7,10.4,1331.7
00AKGQ,E05000197,Enfield,Edmonton Green,312.9,3.1,5822.6
00AKGR,E05000198,Enfield,Enfield Highway,463.9,4.6,3500
00AKGS,E05000199,Enfield,Enfield Lock,325.1,3.3,5015.2
00AKGT,E05000200,Enfield,Grange,328.6,3.3,3878.8
00AKGU,E05000201,Enfield,Haselbury,179.7,1.8,9083.3
00AKGW,E05000202,Enfield,Highlands,508.8,5.1,2558.8
00AKGX,E05000203,Enfield,Jubilee,391.8,3.9,3705.1
00AKGY,E05000204,Enfield,Lower Edmonton,217.5,2.2,7545.5
