hex9,total_cnt
89194ac0007ffff,7
89194ac000bffff,3
89194ac001bffff,2
89194ac0023ffff,5
89194ac002bffff,3
89194ac002fffff,5
89194ac0033ffff,3
89194ac0047ffff,2
89194ac0053ffff,7
89194ac0057ffff,3
89194ac005bffff,1
89194ac0063ffff,16
89194ac0067ffff,12
89194ac006bffff,5
89194ac006fffff,2
89194ac0073ffff,32
89194ac0077ffff,2
89194ac007bffff,39
89194ac0083ffff,3
89194ac0087ffff,5
89194ac008bffff,4
89194ac008fffff,3
89194ac0093ffff,3
89194ac009bffff,13
89194ac00a3ffff,2
89194ac00b3ffff,2
89194ac00bbffff,3
89194ac00c3ffff,1
89194ac00cbffff,4
89194ac00cfffff,2
89194ac00d7ffff,1
89194ac00dbffff,2
89194ac010bffff,1
89194ac0117ffff,1
89194ac0123ffff,1
89194ac012bffff,3
89194ac013bffff,1
89194ac0143ffff,6
89194ac0147ffff,12
89194ac014bffff,3
89194ac014fffff,5
89194ac0163ffff,8
89194ac016bffff,1
89194ac016fffff,1
89194ac0173ffff,1
89194ac017bffff,3
89194ac0183ffff,1
89194ac018fffff,1
89194ac019bffff,1
89194ac01afffff,3
89194ac01c3ffff,3
89194ac01cbffff,1
89194ac01d3ffff,1
89194ac01dbffff,3
89194ac0203ffff,1
89194ac0213ffff,3
89194ac0227ffff,2
89194ac0233ffff,4
89194ac023bffff,6
89194ac0283ffff,2
89194ac028fffff,5
89194ac0293ffff,1
89194ac0297ffff,2
89194ac02a3ffff,1
89194ac02a7ffff,4
89194ac02afffff,17
89194ac02cfffff,5
89194ac02dbffff,1
89194ac0307ffff,1
89194ac0313ffff,2
89194ac0317ffff,4
89194ac031bffff,1
89194ac0333ffff,1
89194ac0347ffff,1
89194ac0357ffff,1
89194ac038bffff,2
89194ac0393ffff,1
89194ac039bffff,4
89194ac03a7ffff,2
89194ac03abffff,1
89194ac03b7ffff,1
89194ac03c7ffff,2
89194ac03cfffff,3
89194ac03d7ffff,1
89194ac03dbffff,1
89194ac0403ffff,1
89194ac0407ffff,8
89194ac040bffff,3
89194ac040fffff,3
89194ac0413ffff,2
89194ac0417ffff,2
89194ac041bffff,2
89194ac0423ffff,10
89194ac0427ffff,1
89194ac042bffff,16
89194ac042fffff,3
89194ac0433ffff,3
89194ac043bffff,86
89194ac0447ffff,5
89194ac044bffff,2
89194ac044fffff,3
89194ac0457ffff,2
89194ac045bffff,1
89194ac0463ffff,1
89194ac0467ffff,2
89194ac046bffff,1
89194ac046fffff,3
89194ac0473ffff,7
89194ac0477ffff,3
89194ac047bffff,1
89194ac0483ffff,1
89194ac0487ffff,2
89194ac048bffff,1
89194ac048fffff,9
89194ac0493ffff,3
89194ac049bffff,1
89194ac04a3ffff,1
89194ac04a7ffff,4
89194ac04abffff,5
89194ac04afffff,2
89194ac04b3ffff,5
89194ac04b7ffff,1
89194ac04cfffff,1
89194ac04d3ffff,3
89194ac04d7ffff,3
89194ac04dbffff,1
89194ac0507ffff,1
89194ac050bffff,13
89194ac050fffff,2
89194ac0513ffff,1
89194ac051bffff,2
89194ac0527ffff,1
89194ac052fffff,1
89194ac0537ffff,2
89194ac053bffff,2
89194ac0543ffff,4
89194ac0547ffff,2
89194ac054fffff,2
89194ac0553ffff,7
89194ac0557ffff,3
89194ac0563ffff,5
89194ac056bffff,1
89194ac0573ffff,1
89194ac0577ffff,1
89194ac057bffff,1
89194ac058bffff,3
89194ac05b3ffff,1
89194ac05bbffff,1
89194ac05c3ffff,2
89194ac05c7ffff,3
89194ac05cfffff,2
89194ac05dbffff,1
89194ac0603ffff,1
89194ac060bffff,3
89194ac0613ffff,1
89194ac0617ffff,2
89194ac0623ffff,1
89194ac0627ffff,1
89194ac0633ffff,1
89194ac0637ffff,1
89194ac064bffff,1
89194ac064fffff,1
89194ac0657ffff,1
89194ac065bffff,3
89194ac066fffff,2
89194ac0687ffff,3
89194ac068bffff,3
89194ac068fffff,3
89194ac0693ffff,1
89194ac0697ffff,1
89194ac069bffff,1
89194ac06a3ffff,5
89194ac06a7ffff,4
89194ac06abffff,1
89194ac06afffff,3
89194ac06b3ffff,2
89194ac06b7ffff,1
89194ac06c3ffff,3
89194ac06c7ffff,3
89194ac06d3ffff,2
89194ac06d7ffff,5
89194ac0c5bffff,2
89194ac0e93ffff,4
89194ac0e97ffff,2
89194ac0ed3ffff,1
89194ac0edbffff,1
89194ac1003ffff,1
89194ac1013ffff,2
89194ac1017ffff,3
89194ac101bffff,2
89194ac102bffff,3
89194ac1077ffff,1
89194ac1083ffff,1
89194ac108bffff,1
89194ac1093ffff,7
89194ac1097ffff,9
89194ac109bffff,2
89194ac10bbffff,3
89194ac10c7ffff,2
89194ac10d3ffff,3
89194ac10d7ffff,1
89194ac1403ffff,3
89194ac1407ffff,3
89194ac140bffff,2
89194ac140fffff,3
89194ac1413ffff,5
89194ac1417ffff,6
89194ac141bffff,5
89194ac1423ffff,1
89194ac1427ffff,7
89194ac142bffff,3
89194ac142fffff,2
89194ac1433ffff,2
89194ac1437ffff,1
89194ac143bffff,5
89194ac1443ffff,8
89194ac1447ffff,2
89194ac144bffff,7
89194ac144fffff,67
89194ac1457ffff,1
89194ac145bffff,2
89194ac1463ffff,1
89194ac1467ffff,3
89194ac1477ffff,4
89194ac147bffff,13
89194ac1483ffff,131
89194ac1487ffff,69
89194ac148bffff,10
89194ac148fffff,21
89194ac1493ffff,42
89194ac1497ffff,13
89194ac149bffff,7
89194ac14a3ffff,5
89194ac14a7ffff,4
89194ac14abffff,7
89194ac14afffff,2
89194ac14b3ffff,21
89194ac14bbffff,23
89194ac14c3ffff,4
89194ac14c7ffff,1
89194ac14cbffff,1
89194ac14d3ffff,1
89194ac14d7ffff,4
89194ac14dbffff,1
89194ac150bffff,1
89194ac1537ffff,1
89194ac1543ffff,1
89194ac154bffff,8
89194ac1553ffff,3
89194ac1557ffff,4
89194ac155bffff,2
89194ac1587ffff,1
89194ac158bffff,4
89194ac159bffff,1
89194ac15afffff,2
89194ac15b3ffff,2
89194ac15bbffff,1
89194ac15c3ffff,1
89194ac15c7ffff,1
89194ac15d3ffff,3
89194ac15d7ffff,1
89194ac1693ffff,3
89194ac1697ffff,3
89194ac16b3ffff,4
89194ac16b7ffff,5
89194ac2007ffff,2
89194ac200bffff,5
89194ac200fffff,2
89194ac201bffff,1
89194ac2027ffff,2
89194ac2033ffff,2
89194ac2037ffff,1
89194ac2043ffff,1
89194ac204bffff,4
89194ac204fffff,2
89194ac2053ffff,1
89194ac2057ffff,2
89194ac205bffff,4
89194ac2063ffff,3
89194ac2067ffff,1
89194ac206bffff,1
89194ac2073ffff,3
89194ac2077ffff,2
89194ac207bffff,7
89194ac2087ffff,1
89194ac208bffff,1
89194ac2093ffff,2
89194ac20a7ffff,2
89194ac20abffff,2
89194ac20afffff,1
89194ac20b7ffff,1
89194ac20bbffff,1
89194ac20c3ffff,2
89194ac20c7ffff,5
89194ac20cbffff,4
89194ac20cfffff,3
89194ac20d3ffff,4
89194ac20d7ffff,1
89194ac20dbffff,3
89194ac2103ffff,1
89194ac210bffff,7
89194ac2113ffff,3
89194ac2117ffff,2
89194ac211bffff,1
89194ac2123ffff,1
89194ac212bffff,1
89194ac2133ffff,1
89194ac2137ffff,2
89194ac2143ffff,1
89194ac2147ffff,3
89194ac214fffff,6
89194ac2153ffff,1
89194ac2163ffff,4
89194ac2167ffff,1
89194ac216bffff,6
89194ac216fffff,5
89194ac2173ffff,26
89194ac2177ffff,3
89194ac217bffff,19
89194ac2183ffff,2
89194ac2187ffff,2
89194ac218bffff,4
89194ac2193ffff,2
89194ac2197ffff,1
89194ac21a3ffff,1
89194ac21a7ffff,4
89194ac21b3ffff,3
89194ac21b7ffff,2
89194ac21bbffff,3
89194ac21cbffff,1
89194ac21cfffff,1
89194ac21d7ffff,1
89194ac21dbffff,1
89194ac2203ffff,4
89194ac2207ffff,2
89194ac220bffff,4
89194ac220fffff,3
89194ac2213ffff,2
89194ac2217ffff,7
89194ac221bffff,1
89194ac2223ffff,2
89194ac2227ffff,28
89194ac222bffff,1
89194ac222fffff,2
89194ac2233ffff,2
89194ac2237ffff,19
89194ac223bffff,4
89194ac2243ffff,15
89194ac2247ffff,2
89194ac224bffff,5
89194ac224fffff,19
89194ac2253ffff,10
89194ac2257ffff,1
89194ac225bffff,2
89194ac2263ffff,21
89194ac226bffff,12
89194ac226fffff,5
89194ac2273ffff,4
89194ac227bffff,6
89194ac2283ffff,38
89194ac2287ffff,4
89194ac228bffff,12
89194ac228fffff,48
89194ac2293ffff,12
89194ac2297ffff,7
89194ac229bffff,57
89194ac22a3ffff,6
89194ac22a7ffff,1
89194ac22abffff,11
89194ac22afffff,8
89194ac22b3ffff,5
89194ac22b7ffff,4
89194ac22bbffff,45
89194ac22c3ffff,12
89194ac22c7ffff,1
89194ac22cbffff,7
89194ac22cfffff,2
89194ac22d3ffff,5
89194ac22d7ffff,2
89194ac22dbffff,5
