hex9,shannon
89194ac0007ffff,4.3713693440071175
89194ac000bffff,1.0
89194ac001bffff,2.0
89194ac0023ffff,5.000000000000001
89194ac002bffff,2.9999999999999996
89194ac002fffff,2.586409289858933
89194ac0033ffff,2.9999999999999996
89194ac0047ffff,2.0
89194ac0053ffff,5.742347492053464
89194ac0057ffff,1.8898815748423097
89194ac005bffff,1.0
89194ac0063ffff,10.94970070458694
89194ac0067ffff,8.123239660131475
89194ac006bffff,5.000000000000001
89194ac006fffff,2.0
89194ac0073ffff,11.846820684826293
89194ac0077ffff,2.0
89194ac007bffff,17.40835420953451
89194ac0083ffff,2.9999999999999996
89194ac0087ffff,3.7892914162759954
89194ac008bffff,4.0
89194ac008fffff,2.9999999999999996
89194ac0093ffff,1.8898815748423097
89194ac009bffff,11.685062651542049
89194ac00a3ffff,1.0
89194ac00b3ffff,2.0
89194ac00bbffff,1.8898815748423097
89194ac00c3ffff,1.0
89194ac00cbffff,2.82842712474619
89194ac00cfffff,2.0
89194ac00d7ffff,1.0
89194ac00dbffff,2.0
89194ac010bffff,1.0
89194ac0117ffff,1.0
89194ac0123ffff,1.0
89194ac012bffff,2.9999999999999996
89194ac013bffff,1.0
89194ac0143ffff,2.749459273997205
89194ac0147ffff,9.5244063118092
89194ac014bffff,2.9999999999999996
89194ac014fffff,5.000000000000001
89194ac0163ffff,5.298702257124208
89194ac016bffff,1.0
89194ac016fffff,1.0
89194ac0173ffff,1.0
89194ac017bffff,2.9999999999999996
89194ac0183ffff,1.0
89194ac018fffff,1.0
89194ac019bffff,1.0
89194ac01afffff,1.8898815748423097
89194ac01c3ffff,2.9999999999999996
89194ac01cbffff,1.0
89194ac01d3ffff,1.0
89194ac01dbffff,2.9999999999999996
89194ac0203ffff,1.0
89194ac0213ffff,2.9999999999999996
89194ac0227ffff,2.0
89194ac0233ffff,4.0
89194ac023bffff,4.7622031559046
89194ac0283ffff,2.0
89194ac028fffff,5.000000000000001
89194ac0293ffff,1.0
89194ac0297ffff,2.0
89194ac02a3ffff,1.0
89194ac02a7ffff,4.0
89194ac02afffff,11.89653442582847
89194ac02cfffff,3.7892914162759954
89194ac02dbffff,1.0
89194ac0307ffff,1.0
89194ac0313ffff,1.0
89194ac0317ffff,1.0
89194ac031bffff,1.0
89194ac0333ffff,1.0
89194ac0347ffff,1.0
89194ac0357ffff,1.0
89194ac038bffff,1.0
89194ac0393ffff,1.0
89194ac039bffff,2.82842712474619
89194ac03a7ffff,2.0
89194ac03abffff,1.0
89194ac03b7ffff,1.0
89194ac03c7ffff,2.0
89194ac03cfffff,2.9999999999999996
89194ac03d7ffff,1.0
89194ac03dbffff,1.0
89194ac0403ffff,1.0
89194ac0407ffff,6.727171322029717
89194ac040bffff,2.9999999999999996
89194ac040fffff,1.0
89194ac0413ffff,1.0
89194ac0417ffff,2.0
89194ac041bffff,2.0
89194ac0423ffff,5.172818579717864
89194ac0427ffff,1.0
89194ac042bffff,11.940733288722276
89194ac042fffff,1.8898815748423097
89194ac0433ffff,2.9999999999999996
89194ac043bffff,22.705281850328177
89194ac0447ffff,2.586409289858933
89194ac044bffff,2.0
89194ac044fffff,2.9999999999999996
89194ac0457ffff,2.0
89194ac045bffff,1.0
89194ac0463ffff,1.0
89194ac0467ffff,2.0
89194ac046bffff,1.0
89194ac046fffff,2.9999999999999996
89194ac0473ffff,2.2173474522732106
89194ac0477ffff,1.8898815748423097
89194ac047bffff,1.0
89194ac0483ffff,1.0
89194ac0487ffff,2.0
89194ac048bffff,1.0
89194ac048fffff,3.5716523669284483
89194ac0493ffff,2.9999999999999996
89194ac049bffff,1.0
89194ac04a3ffff,1.0
89194ac04a7ffff,4.0
89194ac04abffff,5.000000000000001
89194ac04afffff,2.0
89194ac04b3ffff,3.7892914162759954
89194ac04b7ffff,1.0
89194ac04cfffff,1.0
89194ac04d3ffff,2.9999999999999996
89194ac04d7ffff,1.8898815748423097
89194ac04dbffff,1.0
89194ac0507ffff,1.0
89194ac050bffff,11.685062651542049
89194ac050fffff,2.0
89194ac0513ffff,1.0
89194ac051bffff,2.0
89194ac0527ffff,1.0
89194ac052fffff,1.0
89194ac0537ffff,2.0
89194ac053bffff,2.0
89194ac0543ffff,2.82842712474619
89194ac0547ffff,2.0
89194ac054fffff,2.0
89194ac0553ffff,3.1700328249236738
89194ac0557ffff,1.8898815748423097
89194ac0563ffff,1.6493848884661177
89194ac056bffff,1.0
89194ac0573ffff,1.0
89194ac0577ffff,1.0
89194ac057bffff,1.0
89194ac058bffff,2.9999999999999996
89194ac05b3ffff,1.0
89194ac05bbffff,1.0
89194ac05c3ffff,2.0
89194ac05c7ffff,1.8898815748423097
89194ac05cfffff,2.0
89194ac05dbffff,1.0
89194ac0603ffff,1.0
89194ac060bffff,1.8898815748423097
89194ac0613ffff,1.0
89194ac0617ffff,2.0
89194ac0623ffff,1.0
89194ac0627ffff,1.0
89194ac0633ffff,1.0
89194ac0637ffff,1.0
89194ac064bffff,1.0
89194ac064fffff,1.0
89194ac0657ffff,1.0
89194ac065bffff,2.9999999999999996
89194ac066fffff,2.0
89194ac0687ffff,1.8898815748423097
89194ac068bffff,2.9999999999999996
89194ac068fffff,1.8898815748423097
89194ac0693ffff,1.0
89194ac0697ffff,1.0
89194ac069bffff,1.0
89194ac06a3ffff,1.6493848884661177
89194ac06a7ffff,2.82842712474619
89194ac06abffff,1.0
89194ac06afffff,2.9999999999999996
89194ac06b3ffff,2.0
89194ac06b7ffff,1.0
89194ac06c3ffff,1.8898815748423097
89194ac06c7ffff,2.9999999999999996
89194ac06d3ffff,1.0
89194ac06d7ffff,1.6493848884661177
89194ac0c5bffff,2.0
89194ac0e93ffff,2.82842712474619
89194ac0e97ffff,2.0
89194ac0ed3ffff,1.0
89194ac0edbffff,1.0
89194ac1003ffff,1.0
89194ac1013ffff,2.0
89194ac1017ffff,2.9999999999999996
89194ac101bffff,2.0
89194ac102bffff,2.9999999999999996
89194ac1077ffff,1.0
89194ac1083ffff,1.0
89194ac108bffff,1.0
89194ac1093ffff,5.742347492053467
89194ac1097ffff,9.000000000000002
89194ac109bffff,2.0
89194ac10bbffff,2.9999999999999996
89194ac10c7ffff,2.0
89194ac10d3ffff,2.9999999999999996
89194ac10d7ffff,1.0
89194ac1403ffff,2.9999999999999996
89194ac1407ffff,1.8898815748423097
89194ac140bffff,1.0
89194ac140fffff,1.0
89194ac1413ffff,2.586409289858933
89194ac1417ffff,4.7622031559046
89194ac141bffff,5.000000000000001
89194ac1423ffff,1.0
89194ac1427ffff,3.5859888270569535
89194ac142bffff,2.9999999999999996
89194ac142fffff,1.0
89194ac1433ffff,2.0
89194ac1437ffff,1.0
89194ac143bffff,2.586409289858933
89194ac1443ffff,5.656854249492381
89194ac1447ffff,2.0
89194ac144bffff,6.999999999999998
89194ac144fffff,26.682551706081014
89194ac1457ffff,1.0
89194ac145bffff,2.0
89194ac1463ffff,1.0
89194ac1467ffff,1.8898815748423097
89194ac1477ffff,2.82842712474619
89194ac147bffff,9.068305454088847
89194ac1483ffff,22.726042265637577
89194ac1487ffff,21.120551407857896
89194ac148bffff,7.578582832551992
89194ac148fffff,14.131952022639735
89194ac1493ffff,19.423359554510625
89194ac1497ffff,13.000000000000005
89194ac149bffff,4.710650674213246
89194ac14a3ffff,5.000000000000001
89194ac14a7ffff,2.82842712474619
89194ac14abffff,5.742347492053467
89194ac14afffff,2.0
89194ac14b3ffff,8.607964835115796
89194ac14bbffff,12.028245776250499
89194ac14c3ffff,2.82842712474619
89194ac14c7ffff,1.0
89194ac14cbffff,1.0
89194ac14d3ffff,1.0
89194ac14d7ffff,4.0
89194ac14dbffff,1.0
89194ac150bffff,1.0
89194ac1537ffff,1.0
89194ac1543ffff,1.0
89194ac154bffff,6.727171322029717
89194ac1553ffff,2.9999999999999996
89194ac1557ffff,4.0
89194ac155bffff,2.0
89194ac1587ffff,1.0
89194ac158bffff,2.82842712474619
89194ac159bffff,1.0
89194ac15afffff,2.0
89194ac15b3ffff,2.0
89194ac15bbffff,1.0
89194ac15c3ffff,1.0
89194ac15c7ffff,1.0
89194ac15d3ffff,2.9999999999999996
89194ac15d7ffff,1.0
89194ac1693ffff,1.8898815748423097
89194ac1697ffff,2.9999999999999996
89194ac16b3ffff,2.82842712474619
89194ac16b7ffff,5.000000000000001
89194ac2007ffff,2.0
89194ac200bffff,2.8717458874925876
89194ac200fffff,2.0
89194ac201bffff,1.0
89194ac2027ffff,2.0
89194ac2033ffff,2.0
89194ac2037ffff,1.0
89194ac2043ffff,1.0
89194ac204bffff,4.0
89194ac204fffff,1.0
89194ac2053ffff,1.0
89194ac2057ffff,2.0
89194ac205bffff,2.82842712474619
89194ac2063ffff,1.0
89194ac2067ffff,1.0
89194ac206bffff,1.0
89194ac2073ffff,1.8898815748423097
89194ac2077ffff,1.0
89194ac207bffff,4.3713693440071175
89194ac2087ffff,1.0
89194ac208bffff,1.0
89194ac2093ffff,2.0
89194ac20a7ffff,2.0
89194ac20abffff,2.0
89194ac20afffff,1.0
89194ac20b7ffff,1.0
89194ac20bbffff,1.0
89194ac20c3ffff,2.0
89194ac20c7ffff,2.8717458874925876
89194ac20cbffff,4.0
89194ac20cfffff,2.9999999999999996
89194ac20d3ffff,4.0
89194ac20d7ffff,1.0
89194ac20dbffff,2.9999999999999996
89194ac2103ffff,1.0
89194ac210bffff,4.710650674213246
89194ac2113ffff,2.9999999999999996
89194ac2117ffff,1.0
89194ac211bffff,1.0
89194ac2123ffff,1.0
89194ac212bffff,1.0
89194ac2133ffff,1.0
89194ac2137ffff,2.0
89194ac2143ffff,1.0
89194ac2147ffff,2.9999999999999996
89194ac214fffff,3.464101615137755
89194ac2153ffff,1.0
89194ac2163ffff,4.0
89194ac2167ffff,1.0
89194ac216bffff,3.77976314968462
89194ac216fffff,5.000000000000001
89194ac2173ffff,9.887768775485183
89194ac2177ffff,2.9999999999999996
89194ac217bffff,12.833838270706808
89194ac2183ffff,2.0
89194ac2187ffff,2.0
89194ac218bffff,2.82842712474619
89194ac2193ffff,2.0
89194ac2197ffff,1.0
89194ac21a3ffff,1.0
89194ac21a7ffff,4.0
89194ac21b3ffff,1.8898815748423097
89194ac21b7ffff,2.0
89194ac21bbffff,2.9999999999999996
89194ac21cbffff,1.0
89194ac21cfffff,1.0
89194ac21d7ffff,1.0
89194ac21dbffff,1.0
89194ac2203ffff,2.82842712474619
89194ac2207ffff,2.0
89194ac220bffff,4.0
89194ac220fffff,2.9999999999999996
89194ac2213ffff,2.0
89194ac2217ffff,3.5859888270569535
89194ac221bffff,1.0
89194ac2223ffff,2.0
89194ac2227ffff,10.620196191567139
89194ac222bffff,1.0
89194ac222fffff,2.0
89194ac2233ffff,2.0
89194ac2237ffff,13.805239012871631
89194ac223bffff,2.82842712474619
89194ac2243ffff,12.041123426403459
89194ac2247ffff,2.0
89194ac224bffff,5.000000000000001
89194ac224fffff,11.09128400838018
89194ac2253ffff,6.597539553864471
89194ac2257ffff,1.0
89194ac225bffff,2.0
89194ac2263ffff,14.13195202263973
89194ac226bffff,10.690784617684074
89194ac226fffff,5.000000000000001
89194ac2273ffff,4.0
89194ac227bffff,2.7494592739972052
89194ac2283ffff,15.755731328666103
89194ac2287ffff,4.0
89194ac228bffff,9.5244063118092
89194ac228fffff,7.8861622448300395
89194ac2293ffff,9.5244063118092
89194ac2297ffff,5.742347492053464
89194ac229bffff,18.273507596043213
89194ac22a3ffff,3.464101615137754
89194ac22a7ffff,1.0
89194ac22abffff,8.152085136711108
89194ac22afffff,6.727171322029717
89194ac22b3ffff,3.7892914162759954
89194ac22b7ffff,2.82842712474619
89194ac22bbffff,17.713249388415974
89194ac22c3ffff,8.123239660131475
89194ac22c7ffff,1.0
89194ac22cbffff,5.742347492053467
89194ac22cfffff,2.0
89194ac22d3ffff,2.586409289858933
89194ac22d7ffff,2.0
89194ac22dbffff,5.000000000000001
89194ac2303ffff,1.0
89194ac2307ffff,1.0
89194ac230bffff,2.0
89194ac2313ffff,5.742347492053467
89194ac231bffff,2.0
89194ac2327ffff,11.000000000000002
89194ac232fffff,1.0
89194ac2337ffff,1.0
89194ac233bffff,2.9999999999999996
89194ac2343ffff,4.0
89194ac2347ffff,2.82842712474619
89194ac234bffff,3.7892914162759954
89194ac234fffff,1.8898815748423097
89194ac2353ffff,2.82842712474619
89194ac2357ffff,8.70550563296124
89194ac235bffff,9.697503804956236
89194ac2363ffff,2.0
89194ac236bffff,1.0
89194ac2377ffff,1.0
89194ac2387ffff,1.0
89194ac238fffff,1.0
89194ac239bffff,1.0
89194ac23a3ffff,2.0
89194ac23a7ffff,1.0
89194ac23b3ffff,1.0
89194ac23b7ffff,1.0
89194ac23c3ffff,1.0
89194ac23c7ffff,1.0
89194ac23cbffff,8.54923454974006
89194ac23cfffff,3.7892914162759954
89194ac23d3ffff,2.0
89194ac23d7ffff,1.0
89194ac23dbffff,1.0
89194ac2403ffff,6.0
89194ac2407ffff,1.0
89194ac240bffff,10.503129936189445
89194ac240fffff,8.615237662477766
89194ac2413ffff,4.0
89194ac2417ffff,1.0
89194ac241bffff,4.762203155904597
89194ac2423ffff,6.261200690295413
89194ac2427ffff,1.0
89194ac242bffff,2.0
89194ac242fffff,1.0
89194ac243bffff,4.0
89194ac2443ffff,7.192230933248643
89194ac2447ffff,16.665744821171238
89194ac244bffff,2.0
89194ac244fffff,4.762203155904597
89194ac2453ffff,2.0
89194ac2457ffff,7.032391789358399
89194ac245bffff,1.0
89194ac2463ffff,3.7892914162759954
89194ac246bffff,2.9999999999999996
89194ac246fffff,2.9999999999999996
89194ac2473ffff,6.240251469155713
89194ac2477ffff,2.0
89194ac247bffff,17.497421549072484
89194ac2483ffff,7.000000000000004
89194ac248bffff,2.82842712474619
89194ac248fffff,1.0
89194ac2493ffff,2.0
89194ac2497ffff,1.0
89194ac249bffff,2.0
89194ac24a3ffff,1.0
89194ac24a7ffff,1.0
89194ac24abffff,1.0
89194ac24afffff,2.0
89194ac24c3ffff,6.999999999999998
89194ac24c7ffff,1.8898815748423097
89194ac24cbffff,1.0
89194ac24cfffff,2.9999999999999996
89194ac24d3ffff,7.192230933248643
89194ac24d7ffff,2.9999999999999996
89194ac24dbffff,12.680131299694686
89194ac2507ffff,2.9999999999999996
89194ac251bffff,1.0
89194ac2527ffff,2.0
89194ac252bffff,2.9999999999999996
89194ac252fffff,2.0
89194ac2533ffff,2.0
89194ac2537ffff,2.9999999999999996
89194ac2543ffff,2.9999999999999996
89194ac2547ffff,1.0
89194ac2553ffff,3.7892914162759954
89194ac2557ffff,5.000000000000001
89194ac255bffff,1.0
89194ac2563ffff,1.0
89194ac257bffff,1.0
89194ac2587ffff,4.166436205292808
89194ac258fffff,1.0
89194ac2597ffff,1.0
89194ac259bffff,1.0
89194ac25abffff,1.0
89194ac25b3ffff,1.0
89194ac25b7ffff,1.0
89194ac25bbffff,1.0
89194ac25c3ffff,6.727171322029717
89194ac25c7ffff,1.0
89194ac25cbffff,17.411011265922486
89194ac25cfffff,2.9999999999999996
89194ac25d7ffff,1.0
89194ac25dbffff,6.999999999999998
89194ac2603ffff,8.54923454974006
89194ac2607ffff,2.0
89194ac260bffff,2.9999999999999996
89194ac260fffff,8.54923454974006
89194ac2613ffff,4.0
89194ac2617ffff,6.0
89194ac261bffff,11.838778848718663
89194ac2623ffff,6.261200690295413
89194ac2627ffff,2.0
89194ac262bffff,13.970078917810959
89194ac262fffff,5.000000000000001
89194ac2633ffff,4.0
89194ac2637ffff,5.000000000000001
89194ac263bffff,5.000000000000001
89194ac2643ffff,17.40304616327755
89194ac2647ffff,17.78256186623099
89194ac264bffff,4.762203155904597
89194ac264fffff,11.000000000000002
89194ac2653ffff,1.0
89194ac2657ffff,7.186806966507558
89194ac265bffff,10.456050743048756
89194ac2663ffff,18.226880249530268
89194ac2667ffff,32.01696815901764
89194ac266bffff,6.613805215240195
89194ac266fffff,30.54393213995742
89194ac2673ffff,19.032779005666
89194ac2677ffff,17.8209965425951
89194ac267bffff,15.71585611487278
89194ac2683ffff,2.9999999999999996
89194ac2687ffff,1.0
89194ac268bffff,13.454342644059432
89194ac268fffff,5.298702257124208
89194ac2697ffff,2.0
89194ac269bffff,7.728626595716687
89194ac26a3ffff,8.999999999999998
89194ac26a7ffff,4.0
89194ac26abffff,15.078346432278472
89194ac26afffff,2.586409289858933
