Smoothed population density km,Population density km,hex9
2220.142857142857,1597.4,89194ac0003ffff
1905.1142857142856,2315.4,89194ac0007ffff
2384.9714285714285,2700.0,89194ac000bffff
2015.0,1597.4,89194ac000fffff
2322.7142857142853,2315.4,89194ac0013ffff
2212.828571428571,2315.4,89194ac0017ffff
2487.542857142857,2700.0,89194ac001bffff
1597.3999999999999,1597.4,89194ac0023ffff
1597.3999999999999,1597.4,89194ac0027ffff
1597.3999999999999,1597.4,89194ac002bffff
1597.3999999999999,1597.4,89194ac002fffff
1802.542857142857,1597.4,89194ac0033ffff
1699.9714285714285,1597.4,89194ac0037ffff
1699.9714285714285,1597.4,89194ac003bffff
2510.457142857143,2700.0,89194ac0043ffff
2700.0,2700.0,89194ac0047ffff
1941.8285714285719,1373.2,89194ac004bffff
2320.914285714286,2700.0,89194ac004fffff
2700.0,2700.0,89194ac0053ffff
2700.0,2700.0,89194ac0057ffff
2131.371428571429,2700.0,89194ac005bffff
2384.9714285714285,2700.0,89194ac0063ffff
1912.4285714285713,1597.4,89194ac0067ffff
2700.0,2700.0,89194ac006bffff
2384.9714285714285,2700.0,89194ac006fffff
2384.9714285714285,2700.0,89194ac0073ffff
1912.4285714285713,1597.4,89194ac0077ffff
2700.0,2700.0,89194ac007bffff
2370.3428571428567,2315.4,89194ac0083ffff
2315.4,2315.4,89194ac0087ffff
2480.2285714285713,2315.4,89194ac008bffff
2315.4,2315.4,89194ac008fffff
2592.8142857142852,2315.4,89194ac0093ffff
2315.4,2315.4,89194ac0097ffff
2535.171428571429,2700.0,89194ac009bffff
2212.828571428571,2315.4,89194ac00a3ffff
2212.828571428571,2315.4,89194ac00a7ffff
2110.2571428571428,2315.4,89194ac00abffff
2007.685714285714,1597.4,89194ac00afffff
2315.4,2315.4,89194ac00b3ffff
2315.4,2315.4,89194ac00b7ffff
2315.4,2315.4,89194ac00bbffff
2812.585714285714,2700.0,89194ac00c3ffff
2590.1142857142854,2700.0,89194ac00c7ffff
2812.585714285714,2700.0,89194ac00cbffff
2700.0,2700.0,89194ac00cfffff
3037.7571428571428,2700.0,89194ac00d3ffff
2645.057142857143,2700.0,89194ac00d7ffff
3037.7571428571428,3488.1,89194ac00dbffff
1699.9714285714285,1597.4,89194ac0103ffff
1699.9714285714285,1597.4,89194ac0107ffff
1597.3999999999999,1597.4,89194ac010bffff
1597.3999999999999,1597.4,89194ac010fffff
2007.685714285714,2315.4,89194ac0113ffff
2007.685714285714,1597.4,89194ac0117ffff
1802.542857142857,1597.4,89194ac011bffff
1597.3999999999999,1597.4,89194ac0123ffff
912.8000000000001,1597.4,89194ac0127ffff
1597.3999999999999,1597.4,89194ac012bffff
1141.0,1597.4,89194ac012fffff
1802.542857142857,1597.4,89194ac0133ffff
1243.5714285714287,1597.4,89194ac0137ffff
1597.3999999999999,1597.4,89194ac013bffff
1597.3999999999999,1597.4,89194ac0143ffff
1597.3999999999999,1597.4,89194ac0147ffff
1597.3999999999999,1597.4,89194ac014bffff
1597.3999999999999,1597.4,89194ac014fffff
1597.3999999999999,1597.4,89194ac0153ffff
1597.3999999999999,1597.4,89194ac0157ffff
1597.3999999999999,1597.4,89194ac015bffff
1597.3999999999999,1597.4,89194ac0163ffff
1597.3999999999999,1597.4,89194ac0167ffff
1597.3999999999999,1597.4,89194ac016bffff
1597.3999999999999,1597.4,89194ac016fffff
1597.3999999999999,1597.4,89194ac0173ffff
1597.3999999999999,1597.4,89194ac0177ffff
1597.3999999999999,1597.4,89194ac017bffff
2315.4,2315.4,89194ac0183ffff
2315.4,2315.4,89194ac0187ffff
2315.4,2315.4,89194ac018bffff
2212.828571428571,2315.4,89194ac018fffff
2315.4,2315.4,89194ac0193ffff
2315.4,2315.4,89194ac0197ffff
2315.4,2315.4,89194ac019bffff
2315.4,2315.4,89194ac01a3ffff
1323.0857142857144,2315.4,89194ac01a7ffff
2007.685714285714,2315.4,89194ac01abffff
1779.4857142857143,2315.4,89194ac01afffff
2315.4,2315.4,89194ac01b3ffff
1653.857142857143,2315.4,89194ac01b7ffff
2212.828571428571,2315.4,89194ac01bbffff
2110.2571428571428,2315.4,89194ac01c3ffff
2110.2571428571428,2315.4,89194ac01c7ffff
1802.542857142857,1597.4,89194ac01cbffff
1802.542857142857,1597.4,89194ac01cfffff
2315.4,2315.4,89194ac01d3ffff
2315.4,2315.4,89194ac01d7ffff
2007.685714285714,2315.4,89194ac01dbffff
778.0571428571428,0.0,89194ac0203ffff
1739.0285714285715,2700.0,89194ac0207ffff
771.4285714285714,0.0,89194ac020fffff
980.8571428571429,1373.2,89194ac0213ffff
1556.1142857142859,1373.2,89194ac0217ffff
392.34285714285716,0.0,89194ac021bffff
1928.5714285714287,2700.0,89194ac0223ffff
1928.5714285714287,2700.0,89194ac0227ffff
2700.0,2700.0,89194ac0233ffff
2700.0,2700.0,89194ac0237ffff
1542.857142857143,2700.0,89194ac023bffff
1373.2000000000003,1373.2,89194ac0283ffff
1373.2000000000003,1373.2,89194ac0287ffff
1373.2000000000003,1373.2,89194ac028bffff
1373.2000000000003,1373.2,89194ac028fffff
1373.2000000000003,1373.2,89194ac0293ffff
1562.7428571428572,1373.2,89194ac0297ffff
1373.2000000000003,1373.2,89194ac029bffff
2320.914285714286,2700.0,89194ac02a3ffff
2700.0,2700.0,89194ac02a7ffff
2320.914285714286,2700.0,89194ac02abffff
2700.0,2700.0,89194ac02afffff
1941.8285714285719,1373.2,89194ac02b3ffff
2510.457142857143,2700.0,89194ac02b7ffff
1752.2857142857144,1373.2,89194ac02bbffff
1177.0285714285715,1373.2,89194ac02c3ffff
980.8571428571429,1373.2,89194ac02c7ffff
784.6857142857143,1373.2,89194ac02cbffff
588.5142857142857,0.0,89194ac02cfffff
1373.2000000000003,1373.2,89194ac02d3ffff
1373.2000000000003,1373.2,89194ac02d7ffff
1373.2000000000003,1373.2,89194ac02dbffff
1597.3999999999999,1597.4,89194ac0303ffff
1597.3999999999999,1597.4,89194ac0307ffff
1912.4285714285713,1597.4,89194ac030bffff
1369.2,1597.4,89194ac030fffff
1597.3999999999999,1597.4,89194ac0313ffff
1597.3999999999999,1597.4,89194ac0317ffff
1912.4285714285713,1597.4,89194ac031bffff
684.6000000000001,0.0,89194ac0323ffff
456.40000000000003,0.0,89194ac0327ffff
228.20000000000002,0.0,89194ac032bffff
1369.2,1597.4,89194ac0333ffff
1141.0,1597.4,89194ac0337ffff
912.8000000000001,1597.4,89194ac033bffff
1542.857142857143,2700.0,89194ac0343ffff
1613.542857142857,2700.0,89194ac0347ffff
2314.285714285714,2700.0,89194ac0353ffff
2384.9714285714285,2700.0,89194ac0357ffff
1157.142857142857,0.0,89194ac035bffff
