hex9,total_gps_cnt
89194ac0003ffff,190
89194ac0007ffff,42
89194ac000bffff,207
89194ac000fffff,91
89194ac0013ffff,407
89194ac0017ffff,19
89194ac001bffff,170
89194ac0023ffff,84
89194ac0027ffff,54
89194ac002bffff,1117
89194ac002fffff,405
89194ac0033ffff,9
89194ac0037ffff,11
89194ac003bffff,243
89194ac0043ffff,12
89194ac0047ffff,237
89194ac004fffff,26
89194ac0053ffff,97
89194ac0057ffff,69
89194ac005bffff,2
89194ac0063ffff,262
89194ac0067ffff,108
89194ac006bffff,238
89194ac006fffff,471
89194ac0073ffff,586
89194ac0077ffff,114
89194ac007bffff,560
89194ac0083ffff,228
89194ac0087ffff,61
89194ac008bffff,346
89194ac008fffff,113
89194ac0093ffff,243
89194ac0097ffff,14
89194ac009bffff,490
89194ac00a3ffff,79
89194ac00a7ffff,134
89194ac00abffff,6
89194ac00afffff,36
89194ac00b3ffff,42
89194ac00b7ffff,41
89194ac00bbffff,58
89194ac00c3ffff,61
89194ac00c7ffff,59
89194ac00cbffff,163
89194ac00cfffff,72
89194ac00d3ffff,51
89194ac00d7ffff,130
89194ac00dbffff,10
89194ac0103ffff,8
89194ac0107ffff,6
89194ac010bffff,115
89194ac010fffff,81
89194ac0113ffff,10
89194ac0117ffff,17
89194ac011bffff,9
89194ac0123ffff,12
89194ac0127ffff,18
89194ac012bffff,13
89194ac012fffff,28
89194ac0133ffff,13
89194ac0137ffff,4
89194ac013bffff,27
89194ac0143ffff,35
89194ac0147ffff,269
89194ac014bffff,33
89194ac014fffff,262
89194ac0153ffff,4
89194ac0157ffff,17
89194ac015bffff,130
89194ac0163ffff,234
89194ac0167ffff,124
89194ac016bffff,159
89194ac016fffff,40
89194ac0173ffff,112
89194ac0177ffff,36
89194ac017bffff,187
89194ac0183ffff,8
89194ac0187ffff,3
89194ac018bffff,18
89194ac018fffff,1
89194ac0193ffff,13
89194ac0197ffff,1
89194ac019bffff,653
89194ac01abffff,1
89194ac01afffff,1
89194ac01b3ffff,3
89194ac01bbffff,8
89194ac01c3ffff,89
89194ac01c7ffff,4
89194ac01cbffff,4
89194ac01cfffff,11
89194ac01d3ffff,44
89194ac01d7ffff,23
89194ac01dbffff,136
89194ac0203ffff,3
89194ac0207ffff,141
89194ac020fffff,1
89194ac0213ffff,80
89194ac0217ffff,105
89194ac021bffff,1
89194ac0223ffff,97
89194ac0227ffff,52
89194ac0233ffff,339
89194ac0237ffff,1172
89194ac023bffff,133
89194ac0283ffff,9
89194ac0287ffff,6
89194ac028bffff,19
89194ac028fffff,272
89194ac0293ffff,6
89194ac0297ffff,16
89194ac029bffff,3
89194ac02a3ffff,68
89194ac02a7ffff,170
89194ac02abffff,48
89194ac02afffff,329
89194ac02b3ffff,12
89194ac02b7ffff,186
89194ac02bbffff,118
89194ac02c3ffff,2
89194ac02c7ffff,1
89194ac02cbffff,5
89194ac02cfffff,16
89194ac02d3ffff,4
89194ac02d7ffff,5
89194ac02dbffff,43
89194ac0303ffff,2
89194ac0307ffff,1
89194ac030bffff,104
89194ac030fffff,12
89194ac0313ffff,4
89194ac0317ffff,3
89194ac031bffff,250
89194ac0323ffff,8
89194ac0327ffff,7
89194ac032bffff,2
89194ac0333ffff,4
89194ac0337ffff,2
89194ac033bffff,6
89194ac0343ffff,8
89194ac0347ffff,94
89194ac0353ffff,4
89194ac0357ffff,138
89194ac035bffff,17
89194ac0373ffff,24
89194ac0377ffff,5
89194ac0383ffff,78
89194ac0387ffff,57
89194ac038bffff,21
89194ac038fffff,19
89194ac0393ffff,70
89194ac0397ffff,173
89194ac039bffff,194
89194ac03a3ffff,1
89194ac03a7ffff,18
89194ac03abffff,6
89194ac03afffff,2
89194ac03b3ffff,24
89194ac03b7ffff,232
89194ac03bbffff,12
89194ac03c3ffff,57
89194ac03c7ffff,125
89194ac03cbffff,13
89194ac03cfffff,27
89194ac03d3ffff,80
89194ac03d7ffff,140
89194ac03dbffff,71
89194ac0403ffff,45
89194ac0407ffff,391
89194ac040bffff,38
89194ac040fffff,280
89194ac0413ffff,74
89194ac0417ffff,123
89194ac041bffff,12
89194ac0423ffff,664
89194ac0427ffff,349
89194ac042bffff,837
89194ac042fffff,249
89194ac0433ffff,364
89194ac0437ffff,57
89194ac043bffff,2073
89194ac0443ffff,35
89194ac0447ffff,225
89194ac044bffff,77
89194ac044fffff,176
89194ac0453ffff,12
89194ac0457ffff,59
89194ac045bffff,71
89194ac0463ffff,96
89194ac0467ffff,174
89194ac046bffff,365
89194ac046fffff,1048
89194ac0473ffff,129
89194ac0477ffff,124
89194ac047bffff,43
89194ac0483ffff,165
89194ac0487ffff,51
89194ac048bffff,20
89194ac048fffff,61
89194ac0493ffff,493
89194ac0497ffff,153
89194ac049bffff,12
89194ac04a3ffff,163
89194ac04a7ffff,59
89194ac04abffff,281
89194ac04afffff,87
89194ac04b3ffff,399
89194ac04b7ffff,66
89194ac04bbffff,261
89194ac04c3ffff,12
89194ac04c7ffff,2
89194ac04cbffff,130
89194ac04cfffff,2
89194ac04d3ffff,33
89194ac04d7ffff,79
89194ac04dbffff,250
89194ac0503ffff,12
89194ac0507ffff,79
89194ac050bffff,263
89194ac050fffff,85
89194ac0513ffff,411
89194ac0517ffff,74
89194ac051bffff,19
89194ac0523ffff,17
89194ac0527ffff,14
89194ac052bffff,17
89194ac052fffff,3
89194ac0533ffff,152
89194ac0537ffff,313
89194ac053bffff,96
89194ac0543ffff,164
89194ac0547ffff,145
89194ac054bffff,4
89194ac054fffff,35
89194ac0553ffff,331
89194ac0557ffff,169
89194ac055bffff,113
89194ac0563ffff,73
89194ac0567ffff,42
89194ac056bffff,116
89194ac056fffff,65
89194ac0573ffff,63
89194ac0577ffff,101
89194ac057bffff,47
89194ac0583ffff,136
89194ac0587ffff,9
89194ac058bffff,106
89194ac058fffff,65
89194ac0593ffff,54
89194ac0597ffff,68
89194ac059bffff,14
89194ac05a3ffff,1
89194ac05a7ffff,7
89194ac05abffff,13
89194ac05afffff,6
89194ac05b3ffff,10
89194ac05b7ffff,3
89194ac05bbffff,41
89194ac05c3ffff,119
89194ac05c7ffff,247
89194ac05cbffff,143
89194ac05cfffff,150
89194ac05d3ffff,30
89194ac05d7ffff,4
89194ac05dbffff,1712
89194ac0603ffff,9
89194ac0607ffff,10
89194ac060bffff,5
89194ac060fffff,4
89194ac0613ffff,43
89194ac0617ffff,129
89194ac061bffff,7
89194ac0623ffff,19
89194ac0627ffff,27
89194ac062bffff,8
89194ac062fffff,3
89194ac0633ffff,46
89194ac0637ffff,30
89194ac063bffff,17
89194ac0643ffff,1
89194ac0647ffff,6
89194ac064bffff,1
89194ac064fffff,5
89194ac0653ffff,6
89194ac0657ffff,3
89194ac065bffff,32
89194ac0663ffff,9
89194ac0667ffff,4
89194ac066bffff,13
89194ac066fffff,1
89194ac0673ffff,16
89194ac0677ffff,170
89194ac067bffff,3
89194ac0683ffff,52
89194ac0687ffff,17
89194ac068bffff,427
89194ac068fffff,45
89194ac0693ffff,68
89194ac0697ffff,86
89194ac069bffff,116
89194ac06a3ffff,13
89194ac06a7ffff,2
89194ac06abffff,71
89194ac06afffff,10
89194ac06b3ffff,98
89194ac06b7ffff,48
89194ac06bbffff,90
89194ac06c3ffff,24
89194ac06c7ffff,119
89194ac06cbffff,43
89194ac06cfffff,11
89194ac06d3ffff,61
89194ac06d7ffff,338
89194ac06dbffff,21
89194ac0c5bffff,1490
89194ac0e13ffff,2
89194ac0e1bffff,2
89194ac0e53ffff,4
89194ac0e57ffff,3
89194ac0e83ffff,12
89194ac0e8bffff,2
89194ac0e93ffff,46
89194ac0e97ffff,87
89194ac0e9bffff,26
89194ac0ec3ffff,7
89194ac0ec7ffff,12
89194ac0ecbffff,254
89194ac0ecfffff,12
89194ac0ed3ffff,143
89194ac0ed7ffff,9
89194ac0edbffff,12
89194ac1003ffff,67
89194ac1007ffff,12
89194ac100fffff,8
89194ac1013ffff,23
89194ac1017ffff,15
89194ac101bffff,35
89194ac102bffff,33
89194ac1033ffff,4
89194ac103bffff,6
89194ac1077ffff,54
89194ac1083ffff,19
89194ac1087ffff,29
89194ac108bffff,12
89194ac108fffff,37
89194ac1093ffff,77
89194ac1097ffff,128
89194ac109bffff,22
89194ac10a3ffff,35
89194ac10abffff,2
89194ac10afffff,15
89194ac10b3ffff,47
89194ac10b7ffff,612
89194ac10bbffff,9
89194ac10c7ffff,73
89194ac10d3ffff,126
89194ac10d7ffff,37
89194ac1403ffff,141
89194ac1407ffff,312
89194ac140bffff,61
89194ac140fffff,154
89194ac1413ffff,290
89194ac1417ffff,3491
89194ac141bffff,208
89194ac1423ffff,228
89194ac1427ffff,558
89194ac142bffff,107
89194ac142fffff,113
89194ac1433ffff,272
89194ac1437ffff,331
89194ac143bffff,256
89194ac1443ffff,104
89194ac1447ffff,169
89194ac144bffff,85
89194ac144fffff,496
89194ac1453ffff,30
89194ac1457ffff,75
89194ac145bffff,174
89194ac1463ffff,26
89194ac1467ffff,57
89194ac146bffff,110
89194ac146fffff,21
89194ac1473ffff,62
89194ac1477ffff,41
89194ac147bffff,225
89194ac1483ffff,864
89194ac1487ffff,1840
89194ac148bffff,391
89194ac148fffff,561
89194ac1493ffff,1322
89194ac1497ffff,412
89194ac149bffff,444
89194ac14a3ffff,518
89194ac14a7ffff,96
89194ac14abffff,445
89194ac14afffff,216
89194ac14b3ffff,1497
89194ac14b7ffff,257
89194ac14bbffff,655
89194ac14c3ffff,431
89194ac14c7ffff,127
89194ac14cbffff,238
89194ac14cfffff,81
89194ac14d3ffff,61
89194ac14d7ffff,249
89194ac14dbffff,47
89194ac1503ffff,12
89194ac150bffff,54
89194ac1513ffff,8
89194ac1517ffff,6
89194ac151bffff,102
89194ac1537ffff,7
89194ac1543ffff,155
89194ac1547ffff,2
89194ac154bffff,147
89194ac154fffff,14
89194ac1553ffff,90
89194ac1557ffff,174
89194ac155bffff,261
89194ac1583ffff,30
89194ac1587ffff,4
89194ac158bffff,5
89194ac158fffff,8
89194ac1593ffff,37
89194ac1597ffff,6
89194ac159bffff,36
89194ac15a3ffff,4
89194ac15a7ffff,10
89194ac15abffff,4
89194ac15afffff,8
89194ac15b3ffff,10
89194ac15b7ffff,5
89194ac15bbffff,25
89194ac15c3ffff,14
89194ac15c7ffff,169
89194ac15cbffff,68
89194ac15cfffff,61
89194ac15d3ffff,21
89194ac15d7ffff,69
89194ac15dbffff,55
89194ac1683ffff,3
89194ac1687ffff,18
89194ac1693ffff,74
89194ac1697ffff,48
89194ac169bffff,83
89194ac16b3ffff,1186
89194ac16b7ffff,104
89194ac2003ffff,22
89194ac2007ffff,30
89194ac200bffff,51
89194ac200fffff,3
89194ac2013ffff,1
89194ac2017ffff,3
89194ac201bffff,4
89194ac2023ffff,115
89194ac2027ffff,32
89194ac202bffff,81
89194ac202fffff,92
89194ac2033ffff,6
89194ac2037ffff,42
89194ac203bffff,4
89194ac2043ffff,274
89194ac2047ffff,65
89194ac204bffff,310
89194ac204fffff,307
89194ac2053ffff,439
89194ac2057ffff,57
89194ac205bffff,44
89194ac2063ffff,1377
89194ac2067ffff,55
89194ac206bffff,195
89194ac206fffff,55
89194ac2073ffff,44
89194ac2077ffff,43
89194ac207bffff,148
89194ac2083ffff,11
89194ac2087ffff,3
89194ac208bffff,7
89194ac208fffff,9
89194ac2093ffff,14
89194ac209bffff,53
89194ac20a3ffff,5
89194ac20a7ffff,98
89194ac20abffff,29
89194ac20afffff,35
89194ac20b3ffff,8
89194ac20b7ffff,27
